control_code,ce_name,no,text
4.5.3.2,Scope,2,Knows and applies the principles for creating the WBS
4.5.3.2,Scope,3,Explains the differences between different principles of the WBS
4.5.3.2,Scope,4,Explains the characteristics of project boundaries and can give examples
4.5.3.2,Scope,5,Argues for why and when a full WBS may be inappropriate with an iterative (agile) approach to the project
4.5.3.3,Scope,1,Defines work and planning packages
4.5.3.3,Scope,2,Explains the purpose and benefits of (well) defined work packages
4.5.3.3,Scope,3,Names and explains ways to define a work package
4.5.3.4,Scope,1,Manages the scope configuration
4.5.3.4,Scope,2,Defines roles and responsibilities related to scope configuration management
4.5.3.4,Scope,3,Relates the dependency of scope configuration and the overall approach to the project (sequential or iterative)
4.5.3.4,Scope,4,Compares progress and earned value against a baseline plan
4.5.4.1,Time,1,Defines activities related to the realisation of project deliverables
4.5.4.1,Time,2,Extracts activities from a WBS work package
4.5.4.2,Time,1,Determines work effort and duration of activities
4.5.4.2,Time,2,Identifies types of resources that may be required to perform an activity
4.5.4.2,Time,3,Identifies and decides between various resource options
4.5.4.3,Time,1,Knows different planning techniques
4.5.4.3,Time,2,Chooses the appropriate planning techniques
4.5.4.3,Time,3,Determines appropriate stages
4.5.4.3,Time,4,Knows the effects of uncertainty on planning; and what to do to minimise the effects
4.5.4.4,Time,1,Sequences a series of project activities
4.5.4.4,Time,2,Determines dependencies and dependent relationships; Practice 133
4.5.4.4,Time,3,Calculates the critical path
4.5.4.4,Time,4,Levels resource assignment for a given plan
4.5.4.5,Time,1,Knows when and how to use various schedule control systems
4.5.4.5,Time,2,Applies planning adjustments in response to various types of disturbances
4.5.4.5,Time,3,Compares progress and earned value against a baseline plan
4.5.5.1,Organisation and information,1,Assesses and documents the information and documentation needs of the project
4.5.5.1,Organisation and information,2,"Establishes various modes of communication, including formal and informal"
4.5.5.1,Organisation and information,3,Determines the project characteristics influencing the organisational needs
4.5.5.2,Organisation and information,1,Explains some fundamental ways to structure a temporary organisation
4.5.5.2,Organisation and information,2,Designs and develops a governance framework and structure
4.5.5.2,Organisation and information,3,Defines the responsibilities of the various key personnel on the project
4.5.5.2,Organisation and information,4,Identifies links to and interfaces with corporate governance arrangements
4.5.5.2,Organisation and information,5,Identifies and records the differences between the organisation’s functional authorities and the project’s authorities
4.5.5.3,Organisation and information,1,Explains the purpose and contents of information processes
4.5.5.3,Organisation and information,2,Communicates internal information via various methods
4.5.5.3,Organisation and information,3,Ensures redundant information is limited and/or prevented
4.5.5.3,Organisation and information,4,Explains the benefits of different types of meetings
4.5.5.3,Organisation and information,5,Explains what is covered by an infrastructure for communication
4.5.5.3,Organisation and information,6,Establishes planning and control mechanisms (e.g. documentation of key decisions)
4.5.5.4,Organisation and information,1,Implements new organisational structures
4.5.5.4,Organisation and information,2,"Monitors the organisation, including the roles involved"
4.5.5.4,Organisation and information,3,"Adjusts the organisation, including the roles involved"
4.5.6.1,Quality,1,Develops and monitors a quality plan
4.5.6.1,Quality,2,Names different types of quality objectives
4.5.6.1,Quality,3,Implements measures to achieve defined quality objectives
4.5.6.1,Quality,4,Defines and implements quality measures
4.5.6.1,Quality,5,Explains and names different types of tools/techniques for achieving quality objectives
4.5.6.1,Quality,6,Explains and names procedures for achieving quality objectives
4.5.6.1,Quality,7,Explains how to align the quality management activities to the overall project activities and also refers to own experiences (projects)
4.5.6.2,Quality,1,Explains different ways of reviewing the project performance and the project processes
4.5.6.2,Quality,2,Names key elements necessary for an effective and efficient project review
4.5.6.2,Quality,3,Explains how to communicate project quality objectives
4.5.6.2,Quality,4,Names different reasons for performing a project audit
4.5.6.2,Quality,5,Performs a quality audit
4.5.6.2,Quality,6,Analyses a quality audit and is able to define measures or change requests
4.5.6.2,Quality,7,Presents at least one example of a corrective action. Practice 141
4.5.6.3,Quality,1,Describes the outcome of a planned and performed verification process referring to own experiences gained on projects
4.5.6.3,Quality,2,Explains the contents and outputs of a root cause analysis carried out on the basis of detected defects
4.5.6.3,Quality,3,Explains the process and goals of peer reviews
4.5.6.3,Quality,4,Performs verification and recommends corrective actions
4.5.6.3,Quality,5,"Outlines the contents and steps in communicating preferred and recommended corrective actions and change requests, referring to own experiences gained on projects"
4.5.6.4,Quality,1,Explains the difference between verifying and validating
4.5.6.4,Quality,2,Documents different types of quality objectives suitable for quality validation
4.5.6.4,Quality,3,Conducts a validation exercise of project outcomes
4.5.6.4,Quality,4,Obtains a term of acceptance from a client
4.5.6.5,Quality,1,"Assesses, adapts and integrates quality standards being used by organisations"
4.5.6.5,Quality,2,Implements quality processes in the project
4.5.6.5,Quality,3,Conducts regular assessments of the implemented processes and improves them when needed
4.5.6.5,Quality,4,"Implements quality awareness in the project, so that everyone involved knows what quality is required"
4.5.6.5,Quality,5,Conducts regular assessments of the quality awareness and takes corrective action when needed. Practice 143
4.5.7.1,Finance,1,Sets up cost structures and identifies cost categories
4.5.7.1,Finance,2,Selects appropriate cost calculation technique (e.g. direct calculation)
4.5.7.1,Finance,3,Sets the cost targets by consulting any relevant standards or internal guidelines
4.5.7.2,Finance,1,Establishes budget plans
4.5.7.2,Finance,2,Develops budget scenarios based on cost-relevant items
4.5.7.2,Finance,3,Plans budget for contingencies
4.5.7.2,Finance,4,Assesses the budget against the time and funding and makes possible adjustments
4.5.7.2,Finance,5,Sets the final budget
4.5.7.3,Finance,1,Establishes funding strategies for projects
4.5.7.3,Finance,2,Identifies sources of funds
4.5.7.3,Finance,3,Handles the organisational approval processes
4.5.7.3,Finance,4,"Cooperates, keeps close contact to and can negotiate with potential sponsors in order to get funds. Practice 147"
4.5.7.4,Finance,1,Defines processes and governance for financial management
4.5.7.4,Finance,2,Defines financial performance indicators on the project
4.5.7.4,Finance,3,Relates the project cost structure to the organisational cost structure (e.g. aggregating work packages)
4.5.7.4,Finance,4,Develops appropriate reports in accordance with the project’s organisation and governance
4.5.7.5,Finance,1,Establishes and evaluates cost reports
4.5.7.5,Finance,2,Analyses and interprets financial situations
4.5.7.5,Finance,3,Uses financial performance indicators to monitor and control the project
4.5.7.5,Finance,4,Produces project performance forecasts based upon the financial indicators
4.5.7.5,Finance,5,Signals cost breaches and suggests mitigation plans in accordance with the project’s organisation and governance for any cost breaches that cannot be handled by the project budget contingencies. Practice 149
4.5.8.1,Resources,1,Identifies project resource requirements based on resource forecasts
4.5.8.1,Resources,2,Captures baseline of existing and proposed resources
4.5.8.1,Resources,3,Reviews and analyses the resource capacity of the organisation and identifies trends
4.5.8.1,Resources,4,Coordinates with constituent organisation or portfolio management processes. Practice 151
4.5.8.2,Resources,1,Describes the resources needed for the project
4.5.8.2,Resources,2,Draws up a resource plan (based on detailed project planning)
4.5.8.2,Resources,3,Defines the amount and quality of the required resources
4.5.8.3,Resources,1,Takes ‘make or buy’ decisions
4.5.8.3,Resources,2,Creates and evaluates sourcing alternatives
4.5.8.3,Resources,3,Defines a sourcing strategy
4.5.8.3,Resources,4,Engages with resource providers
4.5.8.3,Resources,5,Negotiates resource availability
4.5.8.4,Resources,1,Links resources with project structure
4.5.8.4,Resources,2,Creates schedules (or task lists) for resources
4.5.8.4,Resources,3,Negotiates resource conflicts
4.5.8.5,Resources,1,Defines a systematic approach to evaluating the use of resources
4.5.8.5,Resources,2,Provides opportunities to enhance competences/skills
4.5.8.5,Resources,3,Addresses a skill shortage with the relevant team member and his or her line management
4.5.9.1,Procurement,1,Defines reasons (based on needs) for procurement or partnership
4.5.9.1,Procurement,2,"Prepares, produces or collects the necessary information as input to the procurement subject matter experts"
4.5.9.1,Procurement,3,Defines tender documents and selection criteria based on needs
4.5.9.1,Procurement,4,Supports procurement preparation processes and procedures
4.5.9.2,Procurement,1,"Launches request for quotation (tender), if necessary in cooperation with the procurement function"
4.5.9.2,Procurement,2,Outlines and defines the various steps in a supplier selection process
4.5.9.2,Procurement,3,Defines and explains the contents of tender documents
4.5.9.2,Procurement,4,Defines and uses the selection criteria
4.5.9.2,Procurement,5,"Aligns with formal procurement regulations (international, national and branch-specific)"
4.5.9.2,Procurement,6,"Assesses the specifics of the procurement and suggests partnership models (e.g. joint ventures, long-term partnerships, etc)"
4.5.9.3,Procurement,1,Defines a negotiation mandate and sets objectives to be negotiated
4.5.9.3,Procurement,2,Distinguishes different contractual forms and their implications for the project
4.5.9.3,Procurement,3,Knows contractual terms and conditions and reflects their implications for the project
4.5.9.3,Procurement,4,"Negotiates a contract by establishing price, availability and customisation possibilities and procurement schedules"
4.5.9.4,Procurement,1,Implements measures to manage contract performance
4.5.9.4,Procurement,2,Identifies deviations from the contract
4.5.9.4,Procurement,3,"Handles contractual breaches by taking corrective measures (e.g. talks, renegotiations, etc)"
4.5.9.4,Procurement,4,"Involves – in the case of difficulties in renegotiations – legal, logistic and/or procurement functions of the organisation"
4.5.9.4,Procurement,5,Handles contractual disputes and claims issued by the supplier
4.5.9.4,Procurement,6,Concludes and ends the agreed business relationship when either the project is in risk or all of the obligations in the contract have been met. Practice 159
4.5.10.1,Plan and control,1,Organises the project start-up process
4.5.10.1,Plan and control,2,Gathers all necessary information from the stakeholders and experts
4.5.10.1,Plan and control,3,"Analyses, values and prioritises information"
4.5.10.1,Plan and control,4,Organises and facilitates a project start-up workshop
4.5.10.1,Plan and control,5,Prepares the project charter or project management plan and gets agreement on it
4.5.10.1,Plan and control,6,Prepares and communicates the plan for the project management effort
4.5.10.2,Plan and control,1,Organises the management of the project execution process
4.5.10.2,Plan and control,2,Defines the goals and deliverables of the following phase(s)
4.5.10.2,Plan and control,3,Manages the phase transition
4.5.10.2,Plan and control,4,Organises and facilitates a kick-off meeting
4.5.10.3,Plan and control,1,Defines a performance control cycle
4.5.10.3,Plan and control,2,Describes means and methods applicable for performance control
4.5.10.3,Plan and control,3,Measures progress and performance
4.5.10.4,Plan and control,1,"Prepares a reporting structure (what, when, how often, how, etc)"
4.5.10.4,Plan and control,2,Prepares a progress report
4.5.10.4,Plan and control,3,Prepares a forecast report
4.5.10.4,Plan and control,4,Prepares phase transition reports
4.5.10.5,Plan and control,1,Organises a process for managing changes
4.5.10.5,Plan and control,2,Makes an exception or change report
4.5.10.5,Plan and control,3,Changes the scope configuration
4.5.10.6,Plan and control,1,Organises the project close-out process
4.5.10.6,Plan and control,2,Organises and facilitates a close-out workshop
4.5.10.6,Plan and control,3,Facilitates a complete project evaluation
4.5.10.6,Plan and control,4,Prepares a project ‘lessons learned’ report
4.5.11.1,Risk and opportunity,1,Identifies a range of potential risk management models
4.5.11.1,Risk and opportunity,2,Develops a risk management framework consistent with organisational policy and international standards
4.5.11.1,Risk and opportunity,3,Ensures the consistent application of the risk management framework
4.5.11.2,Risk and opportunity,1,Names and explains various sources of risk and opportunity and the differences between them
4.5.11.2,Risk and opportunity,2,Identifies risks and opportunities
4.5.11.2,Risk and opportunity,3,Documents risks and opportunities in a register. Practice 169
4.5.11.3,Risk and opportunity,1,Engages in qualitative risk and opportunity assessment
4.5.11.3,Risk and opportunity,2,Engages in quantitative risk and opportunity assessment
4.5.11.3,Risk and opportunity,3,"Makes and interprets a risk or opportunity decision tree, with outcomes"
4.5.11.4,Risk and opportunity,1,Explains various means and methods for implementing a chosen overall strategy for the risk and opportunity management process
4.5.11.4,Risk and opportunity,2,"Evaluates responses to risks and opportunities, including their strengths and weaknesses"
4.5.11.4,Risk and opportunity,3,Evaluates alternative means and methods for implementing a risk and opportunity response plan
4.5.11.4,Risk and opportunity,4,Influences the plan for resources and competences required to implement responses
4.5.11.4,Risk and opportunity,5,Implements and communicates a risk and opportunity response plan
4.5.11.5,Risk and opportunity,1,Monitors and controls the implementation and execution of a risk and opportunity response plan
4.5.11.5,Risk and opportunity,2,Communicates the risks and opportunities and the appropriateness of the selected responses. Practice 171
4.5.12.1,Stakeholders,1,Identifies the major stakeholder categories
4.5.12.1,Stakeholders,2,Identifies and names various stakeholders’ interests
4.5.12.1,Stakeholders,3,Identifies and evaluates stakeholders’ influence
4.5.12.1,Stakeholders,4,Identifies relevant changes in or around the project
4.5.12.1,Stakeholders,5,Analyses the consequences of changes for the project
4.5.12.1,Stakeholders,6,Takes actions in order to manage stakeholders
4.5.12.2,Stakeholders,1,Describes the importance of a stakeholder strategy
4.5.12.2,Stakeholders,2,Prepares a communication plan
4.5.12.2,Stakeholders,3,Adjusts the communication plan and/or strategy based on changed circumstances
4.5.12.2,Stakeholders,4,Explains reasons for changing a communication plan
4.5.12.2,Stakeholders,5,Identifies and evaluates opportunities for alliances and partnerships
4.5.12.2,Stakeholders,6,Identifies and evaluates potential collaborators
4.5.12.3,Stakeholders,1,Engages management and/or sponsor(s)
4.5.12.3,Stakeholders,2,"Manages expectations of the project’s executive, higher management and/or sponsor(s)"
4.5.12.3,Stakeholders,3,Employs the executive and/or sponsor(s) to act as ambassadors
4.5.12.4,Stakeholders,1,Engages users and commits them to the project
4.5.12.4,Stakeholders,2,Commits suppliers to the project
4.5.12.4,Stakeholders,3,Cooperates with partners to deliver the optimal result for the organisation
4.5.12.5,Stakeholders,1,Negotiates and documents the alliance agreement
4.5.12.5,Stakeholders,2,Develops and implements a plan for cooperation
4.5.12.5,Stakeholders,3,Develops and evaluates measures for success
4.5.12.5,Stakeholders,4,Maintains key partnership agreements
4.5.12.5,Stakeholders,5,Closes all formal contractual agreements. Practice 177
4.5.13.1,Change and transformation,1,"Analyses the adaptability to the required change, based on previous successful and unsuccessful changes in the organisation"
4.5.13.1,Change and transformation,2,"Assesses possible areas (topics, people) for resistance to the change"
4.5.13.1,Change and transformation,3,Recognises and influences circumstances which can improve the adaptability
4.5.13.1,Change and transformation,4,Takes action when the required or expected change or transformation is not within the capabilities of the organisation(s)
4.5.13.2,Change and transformation,1,Identifies groups and individuals affected by change
4.5.13.2,Change and transformation,2,Maps group interests
4.5.13.2,Change and transformation,3,Identifies change requirements and opportunities regularly
4.5.13.2,Change and transformation,4,Adapts to changing interests and situations
4.5.13.3,Change and transformation,1,"Identifies societal, organisational and personal change or transformation strategies, recognising, for example, innovators, early adopters, the majority and laggards"
4.5.13.3,Change and transformation,2,Collaborates with others to validate strategies
4.5.13.3,Change and transformation,3,Documents strategies into a comprehensive change plan
4.5.13.3,Change and transformation,4,Develops a step-by-step approach if this is required
4.5.13.3,Change and transformation,5,"Regularly adapts the change or transformation plan to incorporate lessons learned and changes in the project’s environment, or in society"
4.5.13.3,Change and transformation,6,Regularly adapts the strategy because the change has succeeded and benefits have been achieved. Practice 181
4.5.13.4,Change and transformation,1,Designs a coherent intervention plan
4.5.13.4,Change and transformation,2,Implements selected interventions
4.5.13.4,Change and transformation,3,Leads or organises workshops and training
4.5.13.4,Change and transformation,4,Addresses resistance to change
4.5.13.4,Change and transformation,5,Organises and implements mass media interventions
4.5.13.4,Change and transformation,6,Uses reinforcement techniques to ensure new behaviour is sustainable
